location,type,nightly_price,features,tags
"Banff, Alberta",Cabin,180,"WiFi, Hot Tub, Pet Friendly","mountain, remote, family-friendly"
"Tofino, BC",Beach House,220,"WiFi, Ocean View","beach, surfing, nightlife"
"Muskoka, Ontario",Cottage,160,"Lake Access, BBQ","lake, remote, romantic"
"Montreal, Quebec",Condo,140,"WiFi, City View","city, nightlife, culture"
"Whistler, BC",Chalet,250,"Ski-in/Ski-out, Fireplace","mountain, luxury, skiing"
"Kelowna, BC",Villa,195,"Pool, Pet Friendly","lake, wine country, family-friendly"
"Niagara-on-the-Lake, Ontario",Bungalow,130,"BBQ, Garden","city, romantic, wine tasting"
"Jasper, Alberta",Cabin,175,"Fireplace, Hiking Trails","mountain, remote, nature"
"Vancouver, BC",Apartment,210,"WiFi, Downtown Access","city, nightlife, business"
Prince Edward Island,Cottage,115,"Beachfront, WiFi","beach, remote, family-friendly"
"Ottawa, Ontario",Condo,165,"WiFi, Balcony","city, historical, culture"
"Canmore, Alberta",Chalet,200,"Fireplace, Hot Tub","mountain, romantic, remote"
