property_id,location,environment,property_type,nightly_price,features,tags,min_guests,max_guests
P000001,"Lyon, France",urban,apartment,170,"air conditioning,breakfast included,elevator,kitchen,parking,workspace","apartment,budget,long stay,pet-friendly,urban",2,4
P000002,"Athens, Greece",beach,guesthouse,135,"breakfast included,city view,elevator,near metro,parking,smart lock,workspace","beach,budget,family,guesthouse,long stay,near metro,ocean view,urban",2,5
P000003,"Phuket, Thailand",beach,apartment,175,"balcony,beachfront,gym,kitchen,ocean view,outdoor shower,scooter rental,security,smart lock,tv,washer dryer,wifi","apartment,beach,beachfront,island,luxury,romantic",1,2
P000004,"Sharm El Sheikh, Egypt",beach,bungalow,235,"air conditioning,balcony,beach access,gym,pet friendly,shade courtyard,washer dryer,workspace","beach,desert,family,luxury,romantic",1,3
P000005,"Stockholm, Sweden",lake,resort,425,"dock,elevator,gym,near metro,parking,pet friendly,sauna,washer dryer,workspace","beachfront,city center,family,island,lake,luxury,near metro,urban",2,5
P000006,"Cartagena, Colombia",beach,bungalow,170,"24h check-in,breakfast included,courtyard,elevator,heritage building,ocean view,parking,rooftop terrace,tv,washer dryer","beach,beachfront,budget,historic,romantic",2,4
P000007,"Munich, Germany",urban,studio,270,"24h check-in,elevator,gym,kitchen,pet friendly,smart lock,tv,washer dryer","business,city center,luxury,urban",1,1
P000008,"Hurghada, Egypt",beach,resort,330,"air conditioning,breakfast included,elevator,kitchen,ocean view,outdoor shower,security,washer dryer,wifi,workspace","beach,desert,family,luxury,ocean view",2,4
P000009,"Taipei, Taiwan",mountain,studio,115,"24h check-in,balcony,hiking trails,parking,smart lock,washer dryer","city center,hiking,luxury,mountain,nature,pet-friendly,urban",1,1
P000010,"Porto, Portugal",coast,townhouse,180,"beach access,elevator,parking,pet friendly,pool,security,tv,washer dryer","beachfront,budget,coast,long stay,pet-friendly,romantic,townhouse,urban",3,7
P000011,"Quebec City, Canada",forest,tiny_home,105,"24h check-in,firepit,hiking trails,kitchen,near metro,parking,tv,wifi,workspace","budget,business,forest,historic,long stay,quiet,ski,urban",1,3
P000012,"Bariloche, Argentina",mountain,cabin,150,"24h check-in,balcony,breakfast included,fireplace,hot tub,kitchen,parking,pet friendly,security,ski storage,tv","lake,mid-range,mountain,nature,quiet,ski",4,8
P000013,"Nice, France",beach,guesthouse,150,"24h check-in,air conditioning,city view,elevator,gym,near metro,pet friendly,washer dryer","beach,beachfront,budget,city center,pet-friendly,romantic,urban",1,2
P000014,"Valparaíso, Chile",coast,bungalow,110,"air conditioning,beach access,pet friendly,pool,sea view,security,washer dryer,wifi","beachfront,bungalow,coast,mid-range,ocean view",2,5
P000015,"Chicago, USA",lake,villa,235,"24h check-in,balcony,breakfast included,city view,elevator,near metro,tv,wifi","city center,lake,luxury,near metro,urban,villa",6,12
P000016,"Istanbul, Turkey",waterfront,studio,115,"balcony,city view,kitchen,near metro,pet friendly,security,smart lock,tv,water view,wifi","long stay,luxury,near metro,urban,waterfront",1,1
P000017,"Cartagena, Colombia",beach,condo,120,"beach access,breakfast included,gym,kitchen,ocean view,rooftop terrace,security,tv","beach,beachfront,historic,mid-range,romantic",1,2
P000018,"Cancun, Mexico",beach,villa,250,"elevator,security,smart lock,washer dryer,workspace","beach,budget,ocean view,romantic",4,8
P000019,"Munich, Germany",urban,guesthouse,150,"balcony,breakfast included,city view,elevator,near metro,parking,smart lock,washer dryer,workspace","budget,business,guesthouse,long stay,urban",1,3
P000020,"Rome, Italy",urban,studio,105,"24h check-in,breakfast included,elevator,gym,pet friendly,smart lock","city center,luxury,pet-friendly,urban",1,2
P000021,"New York, USA",urban,townhouse,425,"24h check-in,air conditioning,balcony,elevator,near metro,pet friendly,washer dryer,wifi","business,city center,luxury,urban",2,5
P000022,"Wellington, New Zealand",coast,condo,150,"24h check-in,air conditioning,city view,near metro,pet friendly,pool,sea view,security,smart lock,wifi","beachfront,budget,city center,coast,long stay,romantic,urban",1,3
P000023,"Cartagena, Colombia",beach,condo,160,"balcony,courtyard,heritage building,outdoor shower,parking,pet friendly,pool,smart lock,wifi,workspace","beach,beachfront,budget,family,historic",2,4
P000024,"Sharjah, UAE",beach,condo,105,"balcony,breakfast included,kitchen,ocean view,outdoor shower,pet friendly,pool,tv,wifi,workspace","beach,city center,condo,desert,long stay,mid-range,ocean view,romantic,urban",3,6
P000025,"Singapore, Singapore",urban,villa,350,"breakfast included,city view,elevator,near metro,ocean view,security,washer dryer,workspace","family,island,long stay,luxury,ocean view,pet-friendly,urban",4,9
P000026,"Toronto, Canada",lake,guesthouse,195,"24h check-in,balcony,city view,dock,elevator,kayaks,lake view,near metro,pet friendly,security,tv,workspace","budget,business,lake,pet-friendly,urban",1,3
P000027,"Istanbul, Turkey",waterfront,houseboat,150,"air conditioning,balcony,gym,parking,security,tv,water view,wifi","houseboat,long stay,mid-range,pet-friendly,urban,waterfront",1,3
