location,type,nightly_price,features,tags
Rome,cabin,150,"WiFi, hot tub","beach, nightlife, family-friendly, remote"
Rome,house,215,"WiFi, pet friendly","mountain, remote, beach"
Paris,condo,235,"WiFi, pet friendly","nightlife, family-friendly, mountain"
Rome,house,470,"hot tub, pet friendly, WiFi","family-friendly, remote, mountain"
Rome,house,315,pet friendly,"family-friendly, nightlife, beach, mountain"
Rome,house,490,"WiFi, pet friendly","remote, family-friendly"
London,cabin,425,"pet friendly, WiFi, hot tub","nightlife, mountain, beach, remote"
London,cabin,290,"hot tub, pet friendly","remote, beach, family-friendly"
London,condo,150,"WiFi, pet friendly, hot tub","beach, nightlife, mountain, remote"
Rome,cabin,420,"WiFi, pet friendly, hot tub","nightlife, remote, mountain"
Paris,house,220,pet friendly,"nightlife, family-friendly, remote, beach"
Rome,cabin,155,"pet friendly, hot tub","family-friendly, remote, nightlife"
London,house,365,hot tub,"remote, nightlife"
Rome,condo,415,"hot tub, WiFi","beach, remote, nightlife"
London,cabin,425,"WiFi, pet friendly, hot tub","nightlife, family-friendly, remote, mountain"
Paris,condo,445,hot tub,"mountain, nightlife, beach, remote"
Rome,house,385,"pet friendly, WiFi","family-friendly, mountain"
London,cabin,400,WiFi,"remote, mountain, family-friendly"
Rome,house,245,"pet friendly, hot tub","beach, mountain, remote"
Paris,condo,360,hot tub,"nightlife, mountain, remote"
Paris,house,240,"pet friendly, hot tub","mountain, family-friendly, remote, nightlife"
Paris,house,195,pet friendly,"remote, family-friendly"
London,condo,350,WiFi,"nightlife, family-friendly, remote, mountain"
Rome,cabin,490,WiFi,"beach, family-friendly, remote"
Rome,house,380,"hot tub, WiFi","remote, family-friendly, nightlife"
Paris,condo,340,"hot tub, pet friendly","family-friendly, remote"
Paris,condo,450,"WiFi, hot tub, pet friendly","remote, nightlife, family-friendly, beach"
Paris,condo,485,WiFi,"family-friendly, mountain, nightlife, beach"
Rome,condo,205,"hot tub, pet friendly, WiFi","mountain, beach"
Rome,cabin,235,pet friendly,"nightlife, beach, family-friendly, remote"
Rome,cabin,460,hot tub,"nightlife, family-friendly"
Paris,condo,330,"hot tub, WiFi","family-friendly, mountain, remote, nightlife"
Rome,cabin,240,WiFi,"mountain, family-friendly"
Paris,cabin,450,WiFi,"beach, remote, family-friendly"
Paris,cabin,240,"hot tub, pet friendly","mountain, beach, nightlife"
Rome,condo,450,pet friendly,"family-friendly, beach, nightlife"
London,house,245,hot tub,"remote, mountain"
London,cabin,385,"pet friendly, WiFi","mountain, remote, family-friendly, beach"
Rome,condo,160,"hot tub, WiFi","mountain, nightlife"
Paris,house,165,"WiFi, pet friendly","beach, family-friendly, nightlife"
London,house,390,hot tub,"remote, beach"
Rome,cabin,370,"pet friendly, WiFi","family-friendly, nightlife, remote"
London,house,385,pet friendly,"remote, mountain"
Rome,house,255,"pet friendly, hot tub, WiFi","nightlife, mountain, beach"
Paris,cabin,260,"pet friendly, WiFi, hot tub","beach, remote"
Rome,condo,285,"pet friendly, WiFi","nightlife, mountain, remote, beach"
Paris,house,345,"pet friendly, WiFi","remote, beach"
Paris,condo,470,hot tub,"family-friendly, beach"
London,cabin,200,"pet friendly, WiFi","nightlife, beach, family-friendly"
Rome,cabin,410,"hot tub, WiFi","mountain, family-friendly, remote, beach"
Paris,cabin,290,"WiFi, pet friendly, hot tub","family-friendly, mountain"
Paris,house,270,"pet friendly, hot tub","family-friendly, remote"
Paris,cabin,245,"hot tub, pet friendly, WiFi","remote, family-friendly, mountain, beach"
Rome,house,345,"hot tub, pet friendly, WiFi","remote, mountain"
Paris,condo,465,"pet friendly, hot tub","mountain, family-friendly, beach, nightlife"
London,house,150,"WiFi, pet friendly, hot tub","remote, mountain"
London,house,215,hot tub,"nightlife, beach, remote"
Paris,house,475,"WiFi, hot tub","remote, beach, nightlife, mountain"
Rome,house,240,WiFi,"nightlife, family-friendly, mountain, beach"
Rome,house,295,pet friendly,"mountain, nightlife, remote, beach"
London,cabin,220,WiFi,"mountain, family-friendly, nightlife, beach"
Paris,cabin,230,"pet friendly, hot tub, WiFi","family-friendly, nightlife, remote"
Paris,house,155,"WiFi, hot tub","mountain, nightlife, remote"
London,house,300,"hot tub, WiFi, pet friendly","remote, family-friendly, mountain, beach"
Rome,cabin,180,WiFi,"beach, remote"
London,condo,355,"WiFi, hot tub","nightlife, remote"
Rome,condo,315,WiFi,"nightlife, mountain, family-friendly, remote"
Paris,condo,180,"pet friendly, WiFi","mountain, remote, family-friendly, beach"
London,condo,300,"hot tub, pet friendly","family-friendly, mountain"
London,cabin,330,pet friendly,"beach, mountain, nightlife, family-friendly"
London,house,185,"WiFi, hot tub","nightlife, remote"
Paris,house,405,"hot tub, WiFi","mountain, nightlife, beach"
London,condo,155,"pet friendly, WiFi","mountain, family-friendly, remote, nightlife"
Paris,cabin,235,"hot tub, WiFi, pet friendly","family-friendly, remote, mountain, beach"
Paris,condo,205,pet friendly,"beach, mountain, remote"
Paris,house,480,"hot tub, pet friendly, WiFi","nightlife, mountain"
Rome,cabin,425,"WiFi, pet friendly, hot tub","remote, mountain"
Paris,condo,245,WiFi,"nightlife, mountain, family-friendly"
Rome,house,170,hot tub,"beach, remote, nightlife"
Paris,condo,270,hot tub,"nightlife, beach"
Rome,condo,245,"WiFi, hot tub, pet friendly","nightlife, family-friendly, remote"
London,cabin,195,"pet friendly, WiFi","family-friendly, remote"
Paris,house,380,"hot tub, pet friendly, WiFi","family-friendly, mountain"
Paris,cabin,490,hot tub,"beach, nightlife"
